Incident ID,YYYY-MM-DD,Región de OEA,País de incautación,Tipo de arma,Subtipo de arma,Cantidad,Lugar de incautación,Coordenadas lugar de incautación,Fuerza que incautó,Nombre de operación,Link,
,2024-01-05,Centro América,Guatemala ,arma larga,Fusiles,3,"Colonia Landívar, zona 7 capitalina","14.645656071546721, -90.5387915015025",Fiscalía contra el Delito de Extorsión y la División Nacional contra el Desarrollo Criminal de Pandillas (Dipanda),Operativo Centinela,https://www.prensalibre.com/guatemala/justicia/allanan-supuesta-guarida-de-la-mara-salvatrucha-confiscan-fusiles-y-hallan-altar-a-la-santa-muerte-breaking/,
,2024-01-05,Centro América,Guatemala ,arma corta,Armas cortas,2,"Colonia Landívar, zona 7 capitalina","14.645656071546721, -90.5387915015025",Fiscalía contra el Delito de Extorsión y la División Nacional contra el Desarrollo Criminal de Pandillas (Dipanda),Operativo Centinela,https://www.prensalibre.com/guatemala/justicia/allanan-supuesta-guarida-de-la-mara-salvatrucha-confiscan-fusiles-y-hallan-altar-a-la-santa-muerte-breaking/,
,2024-01-05,Centro América,Guatemala ,,Chalecos antibalas.,5,"Colonia Landívar, zona 7 capitalina","14.645656071546721, -90.5387915015025",Fiscalía contra el Delito de Extorsión y la División Nacional contra el Desarrollo Criminal de Pandillas (Dipanda),Operativo Centinela,https://www.prensalibre.com/guatemala/justicia/allanan-supuesta-guarida-de-la-mara-salvatrucha-confiscan-fusiles-y-hallan-altar-a-la-santa-muerte-breaking/,
,2024-01-31,Centro América,Guatemala ,arma corta,Pistola,32,"Aldea Bulej, San Mateo Ixtatán, Huehuetenango, cerca de la frontera con México","15.928055857199201, -91.57219021941677",Policía Nacional Civil (PNC). ,Allanamiento ,https://www.prensalibre.com/guatemala/sucesos/armas-y-municiones-imagenes-del-arsenal-decomisado-cerca-de-la-frontera-con-mexico-breaking/,
,2024-01-31,Centro América,Guatemala ,arma larga,Rifles,8,"Aldea Bulej, San Mateo Ixtatán, Huehuetenango, cerca de la frontera con México","15.928055857199201, -91.57219021941677",Policía Nacional Civil (PNC). ,Allanamiento ,https://www.prensalibre.com/guatemala/sucesos/armas-y-municiones-imagenes-del-arsenal-decomisado-cerca-de-la-frontera-con-mexico-breaking/,
,2024-01-31,Centro América,Guatemala ,arma larga,Fusiles,8,"Aldea Bulej, San Mateo Ixtatán, Huehuetenango, cerca de la frontera con México","15.928055857199201, -91.57219021941677",Policía Nacional Civil (PNC). ,Allanamiento ,https://www.prensalibre.com/guatemala/sucesos/armas-y-municiones-imagenes-del-arsenal-decomisado-cerca-de-la-frontera-con-mexico-breaking/,
,2024-01-31,Centro América,Guatemala ,,Escopetas,2,"Aldea Bulej, San Mateo Ixtatán, Huehuetenango, cerca de la frontera con México","15.928055857199201, -91.57219021941677",Policía Nacional Civil (PNC). ,Allanamiento ,https://www.prensalibre.com/guatemala/sucesos/armas-y-municiones-imagenes-del-arsenal-decomisado-cerca-de-la-frontera-con-mexico-breaking/,
,2024-01-31,Centro América,Guatemala ,,Arma tipo mini fusil ,1,"Aldea Bulej, San Mateo Ixtatán, Huehuetenango, cerca de la frontera con México","15.928055857199201, -91.57219021941677",Policía Nacional Civil (PNC). ,Allanamiento ,https://www.prensalibre.com/guatemala/sucesos/armas-y-municiones-imagenes-del-arsenal-decomisado-cerca-de-la-frontera-con-mexico-breaking/,
,2024-01-31,Centro América,Guatemala ,municiones,Municiones.,"4,035","Aldea Bulej, San Mateo Ixtatán, Huehuetenango, cerca de la frontera con México","15.928055857199201, -91.57219021941677",Policía Nacional Civil (PNC). ,Allanamiento ,https://www.prensalibre.com/guatemala/sucesos/armas-y-municiones-imagenes-del-arsenal-decomisado-cerca-de-la-frontera-con-mexico-breaking/,
,2024-02-10,Centro América,Guatemala ,,Fusiles,13,"Bodega nueva de la Empresa Portuaria Nacional, Santo Tomas de Castilla, Puerto Barrios, Izabal ","15.690595395339539, -88.61553923252913","Agentes de unidades especializadas de la Policía Nacional Civil (PNC), de manera particular, el hallazgo se registró con el apoyo de un Binomio K-9, integrado por un Guía y un Perro Policía,",Inspección realizada por agentes de unidades especializadas de la Policía Nacional Civil (PNC),https://mingob.gob.gt/incautan-13-fusiles-y-municiones-en-encomienda-con-destino-huehuetenango/,
,2024-02-10,Centro América,Guatemala ,,Tolvas ,27,"Bodega nueva de la Empresa Portuaria Nacional, Santo Tomas de Castilla, Puerto Barrios, Izabal ","15.690595395339539, -88.61553923252913","Agentes de unidades especializadas de la Policía Nacional Civil (PNC), de manera particular, el hallazgo se registró con el apoyo de un Binomio K-9, integrado por un Guía y un Perro Policía,",,https://mingob.gob.gt/incautan-13-fusiles-y-municiones-en-encomienda-con-destino-huehuetenango/,
,2024-02-10,Centro América,Guatemala ,,Pistolas de gas comprimido. ,2,"Bodega nueva de la Empresa Portuaria Nacional, Santo Tomas de Castilla, Puerto Barrios, Izabal ","15.690595395339539, -88.61553923252913","Agentes de unidades especializadas de la Policía Nacional Civil (PNC), de manera particular, el hallazgo se registró con el apoyo de un Binomio K-9, integrado por un Guía y un Perro Policía,",,https://mingob.gob.gt/incautan-13-fusiles-y-municiones-en-encomienda-con-destino-huehuetenango/,
,2024-04-15,Centro América,Guatemala ,,cajas de munición calibre .22,92," Cheguate, de la aldea Chequín, Tacaná, San Marcos","15.26060085068408, -92.20910927710014",Policía Nacional Civil (PNC),,https://agn.gt/pnc-incauta-casi-5-mil-municiones-ilegales-en-tacana-san-marcos/,
,2024-04-15,Centro América,Guatemala ,,cajas de calibre 9 mm,6," Cheguate, de la aldea Chequín, Tacaná, San Marcos","15.26060085068408, -92.20910927710014",Policía Nacional Civil (PNC),,https://agn.gt/pnc-incauta-casi-5-mil-municiones-ilegales-en-tacana-san-marcos/,
,2024-05-04,Centro América,Guatemala ,,Carabina con tolva tipo caracol,1,"Malacatán, San Marcos","14.917807514820451, -92.05813587894919",División Especializada en Investigación Criminal y el Ministerio Público (MP),Operativos ,https://agn.gt/pnc-incauta-17-armas-en-las-ultimas-24-horas/,
,2024-05-04,Centro América,Guatemala ,,Pistolas,2,"Portuaria Santo Tomás de Castilla, en Puerto Barrios, Izabal","15.695512456402158, -88.61739296098602","
Policías de DIPAFRONT en coordinación con fiscales del Ministerio Público
"," Inspección desarrollada por agentes de la División de Puertos, Aeropuertos y Puestos fronterizos (Dipafront)",https://agn.gt/localizan-armas-de-fuego-ilegales-en-contenedor-proveniente-de-estados-unidos/,
,2024-05-04,Centro América,Guatemala ,,Rifle,1,"Portuaria Santo Tomás de Castilla, en Puerto Barrios, Izabal","15.695512456402158, -88.61739296098602","
Policías de DIPAFRONT en coordinación con fiscales del Ministerio Público
"," Inspección desarrollada por agentes de la División de Puertos, Aeropuertos y Puestos fronterizos (Dipafront)",https://agn.gt/localizan-armas-de-fuego-ilegales-en-contenedor-proveniente-de-estados-unidos/,
,2024-05-04,Centro América,Guatemala ,,Tolvas,2,"Portuaria Santo Tomás de Castilla, en Puerto Barrios, Izabal","15.695512456402158, -88.61739296098602","
Policías de DIPAFRONT en coordinación con fiscales del Ministerio Público
"," Inspección desarrollada por agentes de la División de Puertos, Aeropuertos y Puestos fronterizos (Dipafront)",https://agn.gt/localizan-armas-de-fuego-ilegales-en-contenedor-proveniente-de-estados-unidos/,
,2024-05-04,Centro América,Guatemala ,,Municiones de distinto calibre ,191,"Portuaria Santo Tomás de Castilla, en Puerto Barrios, Izabal","15.695512456402158, -88.61739296098602","
Policías de DIPAFRONT en coordinación con fiscales del Ministerio Público
"," Inspección desarrollada por agentes de la División de Puertos, Aeropuertos y Puestos fronterizos (Dipafront)",https://agn.gt/localizan-armas-de-fuego-ilegales-en-contenedor-proveniente-de-estados-unidos/,
,2024-06-29,Centro América,Guatemala ,,"pistola marca Walther, calibre 9 milímetro",1,"Kilómetro 11 ruta a la aldea Santa Lucía Los Ocotes, zona 25,","14.727623162548142, -90.17614432313394",Policías del Grupo Especial Contra Extorsiones #GECE,,https://agn.gt/pnc-reporta-45-personas-capturadas-en-las-ultimas-24-horas/,
,2024-06-29,Centro América,Guatemala ,,Municiones,12,"Kilómetro 11 ruta a la aldea Santa Lucía Los Ocotes, zona 25,","14.727623162548142, -90.17614432313394",Policías del Grupo Especial Contra Extorsiones #GECE,,https://agn.gt/pnc-reporta-45-personas-capturadas-en-las-ultimas-24-horas/,
,2024-07-03,Centro América,Guatemala ,,Pistolas,3,"Km 18 de la ruta Interamericana, Mixco","14.623160911948341, -90.60628068874588",Centro Antipandillas Transnacional (CAT) y la Policía Nacional Civil (PNC),"Operación del Centro Antipandillas Transnacional (CAT), de la Policía Nacional Civil (PNC)",https://agn.gt/capturados-tres-presuntos-mareros-con-armas-y-municiones-en-sumpango/,
,2024-07-03,Centro América,Guatemala ,,Municiones ,35,"Km 18 de la ruta Interamericana, Mixco","14.623160911948341, -90.60628068874588",Centro Antipandillas Transnacional (CAT) y la Policía Nacional Civil (PNC),"Operación del Centro Antipandillas Transnacional (CAT), de la Policía Nacional Civil (PNC)",https://agn.gt/capturados-tres-presuntos-mareros-con-armas-y-municiones-en-sumpango/,
,2024-07-21,Centro América,Guatemala ,,Pistolas,1,"Malacatán, San Marcos","14.917807514820451, -92.05813587894919",División Especializada en Investigación Criminal y el Ministerio Público (MP),Operativos ,https://agn.gt/pnc-incauta-17-armas-en-las-ultimas-24-horas/,
,2024-07-21,Centro América,Guatemala ,,Rifle,1,"Malacatán, San Marcos","14.917807514820451, -92.05813587894919",División Especializada en Investigación Criminal y el Ministerio Público (MP),Operativos ,https://agn.gt/pnc-incauta-17-armas-en-las-ultimas-24-horas/,
,2024-07-21,Centro América,Guatemala ,,Revolver,1,"Malacatán, San Marcos","14.917807514820451, -92.05813587894919",División Especializada en Investigación Criminal y el Ministerio Público (MP),Operativos ,https://agn.gt/pnc-incauta-17-armas-en-las-ultimas-24-horas/,
,2024-07-21,Centro América,Guatemala ,,Fusil AR-15 ,1,"Malacatán, San Marcos","14.917807514820451, -92.05813587894919",División Especializada en Investigación Criminal y el Ministerio Público (MP),Operativos ,https://agn.gt/pnc-incauta-17-armas-en-las-ultimas-24-horas/,
,2024-07-21,Centro América,Guatemala ,,Fusil AK 47,1,"Malacatán, San Marcos","14.917807514820451, -92.05813587894919",División Especializada en Investigación Criminal y el Ministerio Público (MP),Operativos ,https://agn.gt/pnc-incauta-17-armas-en-las-ultimas-24-horas/,
,2024-08-30,Centro América,Guatemala ,,Pistola calibre nueve milímetros,1,"cercanías del puerto de Santo Tomás de Castilla, en Puerto Barrios, Izabal.","15.690757885596158, -88.62049289687022",Policía Nacional Civil (PNC),Inspección ,https://agn.gt/pnc-captura-a-78-personas-entre-ellas-dos-supuestos-coyotes-en-jutiapa/,
,2024-08-31,Centro América,Guatemala ,,Pistola marca Tisan,1," zona 4, de la cabecera de Huehuetenango","14.647648451991099, -90.51835758429561",Policía Nacional Civil (PNC),,https://agn.gt/pnc-captura-a-78-personas-entre-ellas-dos-supuestos-coyotes-en-jutiapa/,
,2024-08-31,Centro América,Guatemala ,,Tolvas ,3," zona 4, de la cabecera de Huehuetenango","14.647648451991099, -90.51835758429561",Policía Nacional Civil (PNC),,https://agn.gt/pnc-captura-a-78-personas-entre-ellas-dos-supuestos-coyotes-en-jutiapa/,
,2024-08-31,Centro América,Guatemala ,,Municiones ,31," zona 4, de la cabecera de Huehuetenango","14.647648451991099, -90.51835758429561",Policía Nacional Civil (PNC),,https://agn.gt/pnc-captura-a-78-personas-entre-ellas-dos-supuestos-coyotes-en-jutiapa/,
