"county_of_purchase","state_of_purchase","el_salvador_2015","guatemala_2015","honduras_2015","mexico_2015","el_salvador_2016","guatemala_2016","honduras_2016","mexico_2016","el_salvador_2017","guatemala_2017","honduras_2017","mexico_2017","el_salvador_2018","guatemala_2018","honduras_2018","mexico_2018","el_salvador_2019","guatemala_2019","honduras_2019","mexico_2019","el_salvador_2020","guatemala_2020","honduras_2020","mexico_2020","el_salvador_2021","guatemala_2021","honduras_2021","mexico_2021","el_salvador_2022","guatemala_2022","honduras_2022","mexico_2022","total_mex_guate_el_sa_hond_2015_2022","el_salvador_total_2015_2022","guatemala_total_2015_2022","honduras_total_2015_2022","mexico_total_2015_2022"
"ALEUTIANS WEST","AK",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
"ANCHORAGE","AK",1,0,0,6,0,0,0,5,1,0,0,7,0,0,0,3,1,0,0,5,0,0,0,16,0,0,0,4,1,0,0,7,57,4,0,0,53
"FAIRBANKS NORTH STAR","AK",0,0,0,5,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,3,22,0,0,0,22
"JUNEAU","AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
"KENAI PENINSULA","AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"KETCHIKAN GATEWAY","AK",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2
"KODIAK ISLAND","AK",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,8,1,0,0,7
"MATANUSKA SUSITNA","AK",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,3,14,0,0,0,14
"PRINCE WALES KETCHIKAN","AK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"SITKA","AK",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"AUTAUGA","AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
