"nivel_de_gobierno","clave","entidad_federativa","armas_fuego_largas","armas_fuego_cortas","armas_fuego_no_identificables","lanza_granadas","lanza_cohetes","explosivos_granadas","explosivos_minas","explosivos_no_identificables","municiones_uso_comun","municiones_trazadores","municiones_perforantes","municiones_postas","municiones_otro","municiones_no_identificables","casquillos","fabricacion_artesanal_armas_de_fuego","fabricacion_artesanal_municiones","fabricacion_artesanal_no_identificables","fabricacion_artesanal_otro","no_identificados"
"Federal",NA,"Fiscalía General de la República1",10820,14931,149,87,0,682,0,0,1417622,0,0,0,0,0,0,2380,0,0,0,0
"Estatal","01","Aguascalientes",10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Estatal","02","Baja California",87,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estatal","03","Baja California Sur",5,8,0,0,0,0,0,0,58,0,0,2,0,0,3,4,0,0,1,0
"Estatal","04","Campeche",8,15,2,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,1
"Estatal","05","Coahuila de Zaragoza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estatal","06","Colima",31,61,0,0,0,4,0,4,1093,0,0,0,2,0,615,3,0,0,4,0
"Estatal","07","Chiapas",25,60,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0
"Estatal","08","Chihuahua",327,420,0,0,0,0,0,0,29495,0,0,0,0,0,0,0,0,0,0,0
"Estatal","09","Ciudad de México",14,513,10,0,0,0,0,0,1188,0,0,0,6,0,56,20,0,2,176,0
"Estatal","10","Durango",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estatal","11","Guanajuato",267,499,0,0,0,8,0,0,10789,0,0,0,0,0,0,25,0,8,10,0
"Estatal","12","Guerrero",30,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estatal","13","Hidalgo",31,52,4,0,0,0,1,1,654,0,186,0,0,0,147,5,47,3,0,1
"Estatal","14","Jalisco",128,304,6,0,0,0,0,0,817,0,0,0,0,65,565,91,0,43,446,2
"Estatal","15","México",297,674,158,1,0,0,0,0,1477,0,0,0,0,0,927,44,9,0,11,0
"Estatal","16","Michoacán de Ocampo",68,48,0,0,0,0,0,0,2231,0,0,0,0,0,0,0,0,0,0,0
"Estatal","17","Morelos",34,67,2,2,2,4,2,2,202,2,2,2,0,4,261,12,4,3,0,4
"Estatal","18","Nayarit",9,72,0,0,0,0,0,2,0,0,0,0,0,135,0,0,0,0,0,0
"Estatal","19","Nuevo León",204,407,0,0,0,0,0,0,6161,0,0,0,0,0,0,0,0,0,0,0
"Estatal","20","Oaxaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estatal","21","Puebla",126,240,0,0,0,0,0,0,3015,0,0,0,0,0,276,2,0,0,0,0
"Estatal","22","Querétaro",150,282,12,1,0,3,0,0,9718,0,0,243,0,0,43,269,142,4,7,0
"Estatal","23","Quintana Roo",69,326,0,1,0,0,0,0,6,0,8502,19,0,0,4036,2,0,0,0,0
"Estatal","24","San Luis Potosí",76,143,53,0,0,2,0,0,2661,20,362,0,0,7,993,119,0,30,0,0
"Estatal","25","Sinaloa",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estatal","26","Sonora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estatal","27","Tabasco",1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Estatal","28","Tamaulipas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estatal","29","Tlaxcala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estatal","30","Veracruz de Ignacio de la Llave",70,100,1,0,0,2,0,0,619,0,0,10,1,0,371,3,0,2,3,0
"Estatal","31","Yucatán",22,27,0,0,0,0,0,0,0,0,0,0,0,0,59,0,168,0,0,0
"Estatal","32","Zacatecas",21,34,0,1,0,2,0,0,23,1,2,2,0,0,25,17,17,0,3,0
